a,replicate,gen,num_dd, num_dwt, d_fitness
0.07,4,4,1367,1130,1950.96
0.07,4,5,1437,1227,2067.3
0.07,4,6,1360,1279,2005.98
0.07,4,7,1282,1350,1951.56
0.07,4,8,1262,1398,1950.12
0.07,4,9,1250,1389,1933.38
0.07,4,10,1157,1470,1866.96
0.07,4,11,1136,1511,1861.5
0.07,4,12,1140,1512,1866.24
0.07,4,13,1112,1603,1874.22
0.07,4,14,1148,1476,1859.76
0.07,4,15,1242,1490,1967.16
0.07,4,16,1291,1597,2065.02
0.07,4,17,1214,1629,1995.3
0.07,4,18,1260,1674,2063.88
0.07,4,19,1248,1589,2015.22
0.07,4,20,1236,1677,2039.22
0.07,4,21,1248,1640,2036.64
0.07,4,22,1282,1755,2121.66
0.07,4,23,1397,1700,2222.76
0.07,4,24,1430,1753,2280.66
0.07,4,25,1500,1747,2353.74
0.07,4,26,1530,1691,2362.62
0.07,4,27,1483,1746,2334.96
0.07,4,28,1527,1769,2392.14
0.07,4,29,1524,1773,2390.58
0.07,4,30,1588,1772,2459.28
0.07,4,31,1538,1793,2414.1
0.07,4,32,1607,1804,2493.24
0.07,4,33,1656,1745,2521.38
0.07,4,34,1732,1796,2624.88
0.07,4,35,1704,1900,2638.32
0.07,4,36,1845,1870,2778.0
0.07,4,37,1896,1734,2775.96
0.07,4,38,1823,1773,2713.5
0.07,4,39,1913,1845,2840.94
0.07,4,40,1884,1802,2791.56
0.07,4,41,2006,1815,2928.78
0.07,4,42,2079,1719,2967.3
0.07,4,43,2193,1813,3129.9
0.07,4,44,2117,1742,3018.0
0.07,4,45,2318,1736,3232.56
0.07,4,46,2316,1836,3272.4
0.07,4,47,2458,1827,3421.98
0.07,4,48,2504,1784,3453.6
0.07,4,49,2571,1766,3518.4
0.07,4,50,2685,1900,3697.8
0.07,4,51,2700,1859,3696.78
0.07,4,52,2769,1781,3738.54
0.07,4,53,2803,1880,3816.84
0.07,4,54,2869,1781,3846.54
0.07,4,55,2998,1892,4032.48
0.07,4,56,3153,1829,4173.42
0.07,4,57,3111,1823,4125.54
0.07,4,58,3091,1798,4093.44
0.07,4,59,3137,1770,4131.36
0.07,4,60,3240,1738,4229.16
0.07,4,61,3369,1669,4339.5
0.07,4,62,3429,1711,4421.94
0.07,4,63,3556,1773,4585.14
0.07,4,64,3577,1770,4606.56
0.07,4,65,3595,1917,4687.74
0.07,4,66,3699,1870,4780.32
0.07,4,67,3815,1760,4859.4
0.07,4,68,3778,1849,4856.82
0.07,4,69,3761,1931,4872.9
0.07,4,70,3852,1929,4970.34
0.07,4,71,4009,1802,5086.56
0.07,4,72,3942,1790,5009.16
0.07,4,73,3916,1781,4977.3
0.07,4,74,4121,1853,5228.94
0.07,4,75,4224,1734,5290.2
0.07,4,76,4046,1713,5089.14
0.07,4,77,4170,1831,5272.62
0.07,4,78,4206,1743,5274.54
0.07,4,79,4179,1842,5286.96
0.07,4,80,4371,1803,5477.94
0.07,4,81,4650,1699,5735.58
0.07,4,82,4758,1742,5870.28
0.07,4,83,4913,1730,6032.64
0.07,4,84,4985,1672,6086.04
0.07,4,85,5027,1682,6135.6
0.07,4,86,4948,1727,6069.18
0.07,4,87,5040,1676,6147.12
0.07,4,88,4917,1606,5984.88
0.07,4,89,5053,1685,6164.94
0.07,4,90,5097,1657,6200.7
0.07,4,91,5413,1591,6514.26
0.07,4,92,5496,1607,6610.62
0.07,4,93,5569,1689,6723.9
0.07,4,94,5721,1701,6893.1
0.07,4,95,5735,1798,6948.96
0.07,4,96,5752,1720,6934.56
0.07,4,97,5714,1663,6869.58
0.07,4,98,5881,1664,7050.36
0.07,4,99,5995,1636,7161.72
0.07,4,100,6090,1648,7269.36
0.07,5,0,1681,0,1815.48
0.07,5,1,1443,590,1806.24
0.07,5,2,1315,914,1804.08
0.07,5,3,1190,1126,1758.12
0.07,5,4,1275,1086,1833.12
0.07,5,5,1171,1181,1760.7
0.07,5,6,1099,1173,1679.58
0.07,5,7,1051,1211,1643.7
0.07,5,8,1067,1347,1718.1
0.07,5,9,1067,1441,1757.58
0.07,5,10,1014,1506,1727.64
0.07,5,11,938,1480,1634.64
0.07,5,12,997,1546,1726.08
0.07,5,13,962,1566,1696.68
0.07,5,14,1002,1557,1736.1
0.07,5,15,1006,1623,1768.14
0.07,5,16,946,1676,1725.6
0.07,5,17,908,1696,1692.96
0.07,5,18,812,1673,1579.62
0.07,5,19,803,1670,1568.64
0.07,5,20,855,1606,1597.92
0.07,5,21,831,1611,1574.1
0.07,5,22,789,1680,1557.72
0.07,5,23,728,1611,1462.86
0.07,5,24,729,1566,1445.04
0.07,5,25,700,1696,1468.32
0.07,5,26,678,1658,1428.6
0.07,5,27,629,1633,1365.18
0.07,5,28,684,1659,1435.5
0.07,5,29,713,1691,1480.26
0.07,5,30,650,1678,1406.76
0.07,5,31,619,1681,1374.54
0.07,5,32,642,1568,1351.92
0.07,5,33,605,1513,1288.86
0.07,5,34,570,1585,1281.3
0.07,5,35,603,1522,1290.48
0.07,5,36,508,1539,1195.02
0.07,5,37,423,1499,1086.42
0.07,5,38,447,1418,1078.32
0.07,5,39,390,1353,989.46
0.07,5,40,349,1395,962.82
0.07,5,41,329,1349,921.9
0.07,5,42,278,1237,819.78
0.07,5,43,278,1193,801.3
0.07,5,44,243,1176,756.36
0.07,5,45,203,1162,707.28
0.07,5,46,184,1162,686.76
0.07,5,47,164,1086,633.24
0.07,5,48,132,1011,567.18
0.07,5,49,107,1022,544.8
0.07,5,50,108,892,491.28
0.07,5,51,62,784,396.24
0.07,5,52,55,701,353.82
0.07,5,53,43,628,310.2
0.07,5,54,26,595,277.98
0.07,5,55,14,518,232.68
0.07,5,56,24,428,205.68
0.07,5,57,7,407,178.5
0.07,5,58,17,383,179.22
0.07,5,59,11,296,136.2
0.07,5,60,4,263,114.78
0.07,5,61,2,243,104.22
0.07,5,62,4,209,92.1
0.07,5,63,4,178,79.08
0.07,5,64,2,166,71.88
0.07,5,65,3,148,65.4
0.07,5,66,4,136,61.44
0.07,5,67,0,108,45.36
0.07,5,68,0,100,42.0
0.07,5,69,0,74,31.08
0.07,5,70,0,66,27.72
0.07,5,71,0,50,21.0
0.07,5,72,0,46,19.32
0.07,5,73,0,41,17.22
0.07,5,74,0,41,17.22
0.07,5,75,0,31,13.02
0.07,5,76,0,24,10.08
0.07,5,77,0,18,7.56
0.07,5,78,0,13,5.46
0.07,5,79,0,12,5.04
0.07,5,80,0,5,2.1
0.07,5,81,0,1,0.42
0.07,5,82,0,0,0.0
0.07,6,0,1697,0,1832.76
0.07,6,1,1530,638,1920.36
0.07,6,2,1448,937,1957.38
0.07,6,3,1289,1095,1852.02
0.07,6,4,1219,1177,1810.86
0.07,6,5,1189,1340,1846.92
0.07,6,6,1184,1313,1830.18
0.07,6,7,1230,1371,1904.22
0.07,6,8,1168,1347,1827.18
0.07,6,9,1151,1429,1843.26
0.07,6,10,1137,1452,1837.8
0.07,6,11,1073,1449,1767.42
0.07,6,12,1022,1405,1693.86
0.07,6,13,949,1438,1628.88
0.07,6,14,945,1551,1672.02
0.07,6,15,952,1569,1687.14
0.07,6,16,896,1572,1627.92
0.07,6,17,850,1529,1560.18
0.07,6,18,904,1604,1650.0
0.07,6,19,904,1699,1689.9
0.07,6,20,882,1624,1634.64
0.07,6,21,834,1731,1627.74
0.07,6,22,859,1630,1612.32
0.07,6,23,831,1690,1607.28
0.07,6,24,825,1622,1572.24
0.07,6,25,797,1582,1525.2
0.07,6,26,762,1606,1497.48
0.07,6,27,731,1585,1455.18
0.07,6,28,735,1647,1485.54
0.07,6,29,786,1654,1543.56
0.07,6,30,719,1629,1460.7
0.07,6,31,654,1657,1402.26
0.07,6,32,630,1623,1362.06
0.07,6,33,580,1567,1284.54
0.07,6,34,576,1500,1252.08
0.07,6,35,570,1533,1259.46
0.07,6,36,530,1524,1212.48
0.07,6,37,537,1489,1205.34
0.07,6,38,480,1464,1133.28
0.07,6,39,493,1477,1152.78
0.07,6,40,442,1487,1101.9
0.07,6,41,454,1409,1082.1
0.07,6,42,387,1391,1002.18
0.07,6,43,381,1397,998.22
0.07,6,44,333,1359,930.42
0.07,6,45,311,1255,862.98
0.07,6,46,263,1256,811.56
0.07,6,47,248,1252,793.68
0.07,6,48,168,1143,661.5
0.07,6,49,149,1102,623.76
0.07,6,50,139,991,566.34
0.07,6,51,82,912,471.6
0.07,6,52,79,858,445.68
0.07,6,53,52,817,399.3
0.07,6,54,66,744,383.76
0.07,6,55,51,699,348.66
0.07,6,56,52,629,320.34
0.07,6,57,32,590,282.36
0.07,6,58,16,459,210.06
0.07,6,59,10,381,170.82
0.07,6,60,5,276,121.32
0.07,6,61,9,249,114.3
0.07,6,62,7,239,107.94
0.07,6,63,1,176,75.0
0.07,6,64,0,156,65.52
0.07,6,65,0,113,47.46
0.07,6,66,2,116,50.88
0.07,6,67,0,84,35.28
0.07,6,68,0,69,28.98
0.07,6,69,0,41,17.22
0.07,6,70,0,29,12.18
0.07,6,71,0,30,12.6
