a,replicate_number,x,gen,d_allele_freq, exp_d_allele_freq, dd_freq, exp_dd_freq, dwt_freq, exp_dwt_freq, wtwt_freq, exp_wtwt_freq
0.08,1,0.5,46,0.865385,0.88659,0.769231,0.790901,0.192308,0.191379,0.0384615,0.0177202
0.08,1,0.54,46,0.907407,0.854103,0.846154,0.855892,0.192308,0.135856,0.0,0.0082517
0.08,1,0.47,47,0.772727,0.799133,0.636364,0.650358,0.272727,0.29755,0.0909091,0.052092
0.08,1,0.5,47,0.921053,0.935561,0.842105,0.877088,0.157895,0.116945,0.0,0.00596659
0.08,1,0.54,47,0.807692,0.957456,0.421053,0.70281,0.263158,0.2603,0.0,0.0368906
0.08,1,0.47,48,0.717391,0.743756,0.478261,0.569318,0.478261,0.348875,0.0434783,0.0818069
0.08,1,0.5,48,0.878378,0.898273,0.783784,0.81094,0.189189,0.174664,0.027027,0.0143954
0.08,1,0.54,48,0.947368,0.790864,0.459459,0.91804,0.0540541,0.0793368,0.0,0.00262357
0.08,1,0.47,49,0.826087,0.850364,0.652174,0.730714,0.347826,0.239298,0.0,0.0299873
0.08,1,0.5,49,0.933333,0.945978,0.866667,0.89619,0.133333,0.0995766,0.0,0.0042337
0.08,1,0.54,49,0.73913,1.02972,0.8,0.600832,0.666667,0.329868,0.0666667,0.0693001
0.08,1,0.47,50,0.866667,0.88775,0.733333,0.792876,0.266667,0.189748,0.0,0.0173762
0.08,1,0.5,50,0.854839,0.876999,0.709677,0.774683,0.290323,0.204633,0.0,0.0206839
0.08,1,0.54,50,0.96,0.708457,0.741935,0.937715,0.0645161,0.0607778,0.0,0.00150739
0.08,1,0.47,51,0.740741,0.767383,0.518519,0.603183,0.444444,0.3284,0.037037,0.0684166
0.08,1,0.5,51,0.925,0.938925,0.85,0.883226,0.15,0.111398,0.0,0.00537634
0.08,1,0.54,51,0.730769,1.04881,0.75,0.588658,0.4,0.33736,0.15,0.0739824
0.08,1,0.47,52,0.875,0.89525,0.821429,0.805725,0.107143,0.17905,0.0714286,0.0152253
0.08,1,0.5,52,0.852941,0.875263,0.823529,0.771769,0.0588235,0.206988,0.117647,0.0212426
0.08,1,0.54,52,0.882353,0.721054,0.382353,0.817081,0.117647,0.169469,0.0,0.0134499
0.08,1,0.47,53,0.922222,0.936559,0.866667,0.878907,0.111111,0.115305,0.0222222,0.0057884
0.08,1,0.5,53,0.9375,0.94948,0.875,0.902675,0.125,0.0936107,0.0,0.00371471
0.08,1,0.54,53,1.0,0.859285,1.5,1.0,0.0,0.0,0.0,0.0
0.08,1,0.47,54,0.84375,0.86681,0.75,0.75768,0.1875,0.218262,0.0625,0.0240588
0.08,1,0.5,54,0.985294,0.988456,0.970588,0.977113,0.0294118,0.0226859,0.0,0.000201545
0.08,1,0.54,54,0.87037,1.05417,0.588235,0.798583,0.205882,0.185015,0.0,0.016402
0.08,1,0.47,55,0.895833,0.913727,0.791667,0.837944,0.208333,0.151566,0.0,0.0104904
0.08,1,0.5,55,0.972222,0.978016,0.944444,0.956754,0.0555556,0.0425224,0.0,0.00072317
0.08,1,0.54,55,0.869565,0.891354,0.944444,0.797342,0.333333,0.186047,0.0,0.0166113
0.08,1,0.47,56,0.945946,0.956528,0.891892,0.915824,0.108108,0.0814066,0.0,0.00276893
0.08,1,0.5,56,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.08,1,0.54,56,0.875,0.888584,2.7,0.805725,0.9,0.17905,0.0,0.0152253
0.08,1,0.47,57,0.810345,0.835486,0.62069,0.706821,0.37931,0.25733,0.0,0.0358489
0.08,1,0.5,57,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.08,1,0.54,57,0.6,0.965074,0.115385,0.408403,0.230769,0.423529,0.0384615,0.168067
0.08,1,0.47,58,0.875,0.89525,0.75,0.805725,0.25,0.17905,0.0,0.0152253
0.08,1,0.5,58,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.08,1,0.54,58,0.891304,0.571787,0.9,0.830929,0.25,0.157629,0.0,0.0114423
0.08,1,0.47,59,0.857143,0.879103,0.761905,0.778223,0.190476,0.201761,0.047619,0.020016
0.08,1,0.5,59,0.984375,0.987727,0.96875,0.975681,0.03125,0.0240909,0.0,0.000227616
0.08,1,0.54,59,0.842857,0.925978,0.8125,0.756313,0.21875,0.219345,0.0625,0.0243422
0.08,1,0.47,60,0.944444,0.95528,0.944444,0.913486,0.0,0.083587,0.0555556,0.00292672
0.08,1,0.5,60,0.910714,0.926682,0.821429,0.861026,0.178571,0.131311,0.0,0.00766288
0.08,1,0.54,60,0.880952,0.854133,0.607143,0.814917,0.107143,0.171304,0.0357143,0.0137793
0.08,1,0.47,61,0.90625,0.922817,0.8125,0.854096,0.1875,0.137441,0.0,0.0084631
0.08,1,0.5,61,0.924242,0.93828,0.848485,0.882048,0.151515,0.112465,0.0,0.00548717
0.08,1,0.54,61,0.903226,0.892956,0.757576,0.849404,0.181818,0.141567,0.0,0.00902853
0.08,1,0.47,62,0.948276,0.95846,0.896552,0.919453,0.103448,0.0780142,0.0,0.00253293
0.08,1,0.5,62,0.966667,0.973528,0.933333,0.9481,0.0666667,0.0508559,0.0,0.00104384
0.08,1,0.54,62,0.827586,0.945868,0.666667,0.732997,0.266667,0.237545,0.0333333,0.0294575
0.08,1,0.47,63,0.926829,0.940479,0.878049,0.886071,0.097561,0.108816,0.0243902,0.00511352
0.08,1,0.5,63,0.97619,0.981203,0.952381,0.962935,0.047619,0.0365341,0.0,0.000530403
0.08,1,0.54,63,0.829268,0.851283,1.33333,0.73556,0.571429,0.235571,0.047619,0.028869
0.08,1,0.47,64,0.954545,0.963634,0.909091,0.929218,0.0909091,0.068831,0.0,0.00195099
0.08,1,0.5,64,0.954545,0.963634,0.909091,0.929218,0.0909091,0.068831,0.0,0.00195099
0.08,1,0.54,64,0.939024,0.81887,1.09091,0.905048,0.151515,0.0914189,0.0,0.00353351
0.08,1,0.47,65,0.970588,0.976699,0.941176,0.954209,0.0588235,0.0449796,0.0,0.00081132
0.08,1,0.5,65,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.08,1,0.54,65,0.92,0.958095,1.61538,0.875452,0.307692,0.118419,0.0,0.00612933
0.08,1,0.47,66,0.903226,0.920188,0.806452,0.849404,0.193548,0.141567,0.0,0.00902853
0.08,1,0.5,66,0.948276,0.95846,0.896552,0.919453,0.103448,0.0780142,0.0,0.00253293
0.08,1,0.54,66,0.848837,0.960017,1.06897,0.765474,0.37931,0.212049,0.0344828,0.0224775
0.08,1,0.47,67,0.970588,0.976699,0.941176,0.954209,0.0588235,0.0449796,0.0,0.00081132
0.08,1,0.5,67,0.98,0.984247,0.96,0.968869,0.04,0.0307577,0.0,0.000373636
0.08,1,0.54,67,0.969697,0.831236,1.24,0.952821,0.08,0.0463177,0.0,0.000861564
0.08,1,0.47,68,0.933333,0.945978,0.866667,0.89619,0.133333,0.0995766,0.0,0.0042337
0.08,1,0.5,68,0.983871,0.987327,0.967742,0.974897,0.0322581,0.0248608,0.0,0.000242591
0.08,1,0.54,68,0.909091,1.00053,0.580645,0.858506,0.129032,0.133545,0.0,0.00794913
0.08,1,0.47,69,0.847826,0.870568,0.695652,0.763924,0.304348,0.213289,0.0,0.0227873
0.08,1,0.5,69,0.982759,0.986444,0.965517,0.973165,0.0344828,0.0265581,0.0,0.00027734
0.08,1,0.54,69,1.0,0.890725,0.965517,1.0,0.0,0.0,0.0,0.0
0.08,1,0.47,70,0.97,0.976224,0.94,0.953293,0.06,0.0458629,0.0,0.000844309
0.08,1,0.5,70,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.08,1,0.54,70,0.954545,1.01982,1.25,0.929218,0.125,0.068831,0.0,0.00195099
0.08,1,0.47,71,0.982143,0.985954,0.964286,0.972206,0.0357143,0.0274967,0.0,0.000297584
0.08,1,0.5,71,0.909091,0.925278,0.818182,0.858506,0.181818,0.133545,0.0,0.00794913
0.08,1,0.54,71,0.884615,0.99083,0.606061,0.820579,0.181818,0.166494,0.0,0.0129266
0.08,1,0.47,72,0.983333,0.9869,0.966667,0.974059,0.0333333,0.0256814,0.0,0.000259094
0.08,1,0.5,72,0.969697,0.97598,0.939394,0.952821,0.0606061,0.0463177,0.0,0.000861564
0.08,1,0.54,72,0.911765,0.89443,0.848485,0.862657,0.181818,0.129862,0.0,0.00748055
0.08,1,0.47,73,0.946429,0.956928,0.892857,0.916576,0.107143,0.0807048,0.0,0.00271916
0.08,1,0.5,73,0.982143,0.985954,0.964286,0.972206,0.0357143,0.0274967,0.0,0.000297584
0.08,1,0.54,73,1.0,0.893887,0.678571,1.0,0.0,0.0,0.0,0.0
