m, replicate_number, generation, num_drive_alleles
1210,6,80,37354
1210,6,81,37071
1210,6,82,37495
1210,6,83,37572
1210,6,84,38053
1210,6,85,37882
1210,6,86,38257
1210,6,87,38400
1210,6,88,38583
1210,6,89,38816
1210,6,90,38605
1210,6,91,38702
1210,6,92,39140
1210,6,93,39438
1210,6,94,39710
1210,6,95,40169
1210,6,96,40297
1210,6,97,40026
1210,6,98,39648
1210,6,99,40028
1210,6,100,40397
,,,
1210,7,0,2420
1210,7,1,2415
1210,7,2,2482
1210,7,3,2551
1210,7,4,2676
1210,7,5,2890
1210,7,6,3003
1210,7,7,3183
1210,7,8,3354
1210,7,9,3377
1210,7,10,3414
1210,7,11,3615
1210,7,12,3746
1210,7,13,4009
1210,7,14,4320
1210,7,15,4773
1210,7,16,5037
1210,7,17,5651
1210,7,18,6078
1210,7,19,6588
1210,7,20,7126
1210,7,21,8181
1210,7,22,8755
1210,7,23,9869
1210,7,24,10778
1210,7,25,11958
1210,7,26,13286
1210,7,27,15135
1210,7,28,16791
1210,7,29,18060
1210,7,30,19291
1210,7,31,20907
1210,7,32,22418
1210,7,33,23875
1210,7,34,25257
1210,7,35,26108
1210,7,36,27386
1210,7,37,27903
1210,7,38,28516
1210,7,39,29001
1210,7,40,29512
1210,7,41,30077
1210,7,42,30528
1210,7,43,30473
1210,7,44,30271
1210,7,45,30619
1210,7,46,30913
1210,7,47,31127
1210,7,48,31085
1210,7,49,31018
1210,7,50,31354
1210,7,51,31717
1210,7,52,31752
1210,7,53,32067
1210,7,54,32431
1210,7,55,32813
1210,7,56,32741
1210,7,57,33457
1210,7,58,33592
1210,7,59,33857
1210,7,60,34325
1210,7,61,34251
1210,7,62,34662
1210,7,63,34171
1210,7,64,34449
1210,7,65,34623
1210,7,66,34796
1210,7,67,34778
1210,7,68,34858
1210,7,69,34764
1210,7,70,35065
1210,7,71,35278
1210,7,72,34740
1210,7,73,35415
1210,7,74,35887
1210,7,75,35842
1210,7,76,36077
1210,7,77,36635
1210,7,78,36569
1210,7,79,36813
1210,7,80,36817
1210,7,81,36529
1210,7,82,36558
1210,7,83,36530
