m,change
996,125
996,-612
996,38
996,-631
996,-591
996,-34
996,-53
996,-78
996,100
996,0
996,93
996,-674
996,-629
996,18
996,-18
996,88
996,60
996,-41
997,-18
997,-536
997,-628
997,-114
997,133
997,-662
997,-519
997,75
997,-19
997,-713
997,-70
997,61
997,15
997,10
997,36
997,-128
997,120
997,-538
997,-647
997,7
998,-649
998,78
998,173
998,-153
998,-63
998,-36
998,40
998,86
998,-136
998,81
998,-710
998,-70
998,145
998,7
998,-21
998,39
998,-618
998,-688
998,116
998,-648
999,-590
999,-705
999,-644
999,-647
999,14
999,206
999,-689
999,-583
999,41
999,-31
999,-612
999,-607
999,-16
999,33
999,-616
999,111
999,-663
999,-677
999,-128
999,12
1001,44
1001,-647
1001,3
1001,78
1001,-592
1001,55
1001,-86
1001,-648
