a,sigma,k,u_hat,delta,outcome
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,decrease
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,decrease
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
