a,sigma,k,u_hat,outcome
0.021862069,0.01,0.2,0.2,increase
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,increase
0.021862069,0.01,0.2,0.2,increase
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,increase
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,increase
0.021862069,0.01,0.2,0.2,increase
0.021862069,0.01,0.2,0.2,increase
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,increase
0.021862069,0.01,0.2,0.2,increase
0.021862069,0.01,0.2,0.2,increase
0.021862069,0.01,0.2,0.2,increase
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,decrease
0.022103448,0.01,0.2,0.2,decrease
0.022103448,0.01,0.2,0.2,decrease
0.022103448,0.01,0.2,0.2,decrease
0.022103448,0.01,0.2,0.2,decrease
0.022103448,0.01,0.2,0.2,decrease
0.022103448,0.01,0.2,0.2,decrease
0.022103448,0.01,0.2,0.2,decrease
0.022103448,0.01,0.2,0.2,increase
0.022103448,0.01,0.2,0.2,increase
0.022103448,0.01,0.2,0.2,decrease
0.022103448,0.01,0.2,0.2,decrease
0.022103448,0.01,0.2,0.2,decrease
0.022103448,0.01,0.2,0.2,decrease
0.022103448,0.01,0.2,0.2,decrease
0.022103448,0.01,0.2,0.2,decrease
0.022103448,0.01,0.2,0.2,decrease
0.022103448,0.01,0.2,0.2,increase
0.022103448,0.01,0.2,0.2,decrease
0.022103448,0.01,0.2,0.2,increase
0.022103448,0.01,0.2,0.2,decrease
0.022103448,0.01,0.2,0.2,increase
0.022103448,0.01,0.2,0.2,decrease
0.022103448,0.01,0.2,0.2,increase
0.022103448,0.01,0.2,0.2,increase
0.022103448,0.01,0.2,0.2,decrease
0.022103448,0.01,0.2,0.2,increase
