a,sigma,k,u_hat,outcome
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,decrease
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,decrease
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,decrease
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.026931034,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
0.028310345,0.01,0.2,0.2,increase
