a,sigma,k,u_hat,delta,outcome
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0048,0.01,0.2,0.2,-0.000147177,decrease
0.0048,0.01,0.2,0.2,-0.000147177,decrease
0.0048,0.01,0.2,0.2,-0.000147177,decrease
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0048,0.01,0.2,0.2,-0.000147177,decrease
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0048,0.01,0.2,0.2,-0.000147177,decrease
0.0048,0.01,0.2,0.2,-0.000147177,decrease
0.0048,0.01,0.2,0.2,-0.000147177,decrease
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0048,0.01,0.2,0.2,-0.000147177,decrease
0.0048,0.01,0.2,0.2,-0.000147177,decrease
0.0048,0.01,0.2,0.2,-0.000147177,decrease
0.0048,0.01,0.2,0.2,-0.000147177,decrease
0.0048,0.01,0.2,0.2,-0.000147177,decrease
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0048,0.01,0.2,0.2,-0.000147177,decrease
0.0048,0.01,0.2,0.2,-0.000147177,decrease
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0048,0.01,0.2,0.2,-0.000147177,decrease
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0048,0.01,0.2,0.2,-0.000147177,decrease
0.0048,0.01,0.2,0.2,-0.000147177,decrease
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,increase
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,increase
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,increase
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,increase
0.0051,0.01,0.2,0.2,-0.000143501,increase
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,increase
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,increase
0.0051,0.01,0.2,0.2,-0.000143501,increase
0.0051,0.01,0.2,0.2,-0.000143501,increase
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,increase
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,increase
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,increase
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,increase
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,increase
0.0051,0.01,0.2,0.2,-0.000143501,increase
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,increase
0.0051,0.01,0.2,0.2,-0.000143501,increase
0.0051,0.01,0.2,0.2,-0.000143501,increase
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,increase
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0051,0.01,0.2,0.2,-0.000143501,increase
0.0051,0.01,0.2,0.2,-0.000143501,increase
0.0051,0.01,0.2,0.2,-0.000143501,increase
0.0051,0.01,0.2,0.2,-0.000143501,increase
0.0051,0.01,0.2,0.2,-0.000143501,decrease
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,increase
0.0054,0.01,0.2,0.2,-0.000138657,increase
0.0054,0.01,0.2,0.2,-0.000138657,increase
0.0054,0.01,0.2,0.2,-0.000138657,increase
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,increase
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,increase
0.0054,0.01,0.2,0.2,-0.000138657,increase
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,increase
0.0054,0.01,0.2,0.2,-0.000138657,increase
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,increase
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,increase
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,increase
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,increase
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,increase
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,increase
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,increase
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,increase
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,increase
0.0054,0.01,0.2,0.2,-0.000138657,increase
0.0054,0.01,0.2,0.2,-0.000138657,increase
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,decrease
0.0054,0.01,0.2,0.2,-0.000138657,increase
0.0057,0.01,0.2,0.2,-0.000132698,increase
0.0057,0.01,0.2,0.2,-0.000132698,increase
0.0057,0.01,0.2,0.2,-0.000132698,increase
0.0057,0.01,0.2,0.2,-0.000132698,decrease
0.0057,0.01,0.2,0.2,-0.000132698,decrease
0.0057,0.01,0.2,0.2,-0.000132698,decrease
0.0057,0.01,0.2,0.2,-0.000132698,increase
0.0057,0.01,0.2,0.2,-0.000132698,decrease
0.0057,0.01,0.2,0.2,-0.000132698,decrease
0.0057,0.01,0.2,0.2,-0.000132698,decrease
