m,change
1049,-27
1049,12
1049,-160
1049,44
1049,90
1049,36
1049,-113
1049,-12
1049,-83
1049,34
1049,-42
1050,-40
1050,77
1050,-14
1050,122
1050,-149
1050,58
1050,61
1050,74
1050,38
1050,-59
1050,-61
1050,-41
1050,30
1050,-96
1050,31
1050,45
1050,31
1050,-37
1050,48
1050,92
1051,-2
1051,-109
1051,137
1051,14
1051,20
1051,63
1051,169
1051,102
1051,39
1051,-118
1051,-105
1051,49
1051,25
1051,-123
1051,6
1051,-69
1051,-1
1051,66
1051,60
1051,-18
1052,24
1052,-36
1052,-9
1052,-18
1052,-31
1052,81
1052,-63
1052,-2
1052,138
1052,-58
1052,2
1052,98
1052,-41
1052,-11
1052,112
1052,-49
1052,30
1052,-132
1052,-74
1052,63
1053,188
1053,81
1053,-39
1053,42
1053,35
1053,23
1053,-184
1053,-7
1053,-12
1053,34
1053,-124
1053,68
1053,-116
1053,71
1053,-14
1053,11
1053,37
1053,10
1053,15
1053,4
1054,54
1054,17
1054,88
1054,-4
1054,20
1054,109
1054,121
1054,32
1054,17
1054,59
1054,-84
1054,26
1054,-8
1054,-26
1054,-6
1054,27
1054,-24
1054,-88
1054,67
1054,120
1055,-96
1055,-45
1055,-20
1055,35
1055,214
1055,86
1055,12
1055,-110
1055,68
1055,53
1055,-11
1055,111
1055,45
1055,-29
1055,-119
1055,117
1055,109
1055,159
1055,-43
1055,36
1056,23
1056,-29
1056,-24
1056,81
1056,-26
1056,-185
1056,-30
1056,26
1056,-120
1056,88
1056,-22
1056,-8
1056,41
1056,-7
1056,47
1056,-8
1056,130
1056,80
1056,56
1056,95
1057,6
1057,109
1057,-52
1057,-4
1057,60
1057,84
1057,6
1057,99
1057,-35
1057,-76
1057,53
1057,-8
1057,34
1057,-53
1057,-7
1057,121
1057,76
1057,51
1057,64
1057,-72
1058,80
1058,-61
1058,-86
1058,146
1058,132
1058,-107
1058,126
1058,-40
1058,-60
1058,-15
1058,72
1058,-22
1058,-143
1058,27
1058,183
1058,-72
1058,38
1058,90
1058,75
1058,2
1059,-6
1059,217
1059,62
1059,-71
1059,-21
1059,26
1059,-18
1059,-108
1059,84
1059,58
1059,127
1059,58
1059,91
1059,-2
1059,63
1059,133
1059,95
1059,35
1059,-58
1059,98
1060,16
1060,14
1060,74
1060,-42
1060,-42
1060,9
1060,-2
1060,-34
1060,76
1060,62
1060,-56
1060,-92
1060,45
1060,-14
1060,28
1060,32
1060,-3
1060,66
1060,-8
1060,36
1061,-63
1061,160
1061,116
1061,-10
1061,-5
1061,42
1061,-97
1061,-64
1061,32
1061,26
1061,42
1061,1
1061,99
1061,93
1061,25
1061,-52
1061,-40
1061,89
1061,-16
1061,69
1062,37
1062,-5
1062,-43
1062,-77
1062,97
1062,76
1062,61
1062,-1
1062,54
1062,38
1062,64
1062,60
1062,3
1062,-9
1062,169
1062,44
1062,18
1062,-48
1062,118
1062,22
1063,-15
1063,125
1063,32
1063,16
1063,66
1063,-84
1063,177
1063,-63
1063,64
1063,24
1063,-129
1063,30
1063,-38
1063,50
1063,39
1063,-44
1063,142
1063,-145
1063,107
1063,-67
1064,112
1064,8
1064,43
1064,-74
1064,22
1064,-57
1064,67
1064,71
1064,-35
1064,49
1064,70
1064,41
1064,-74
1064,-101
1064,125
1064,20
1064,-2
1064,-110
1064,146
1064,-3
1065,40
1065,4
1065,10
1065,-83
1065,87
1065,-4
1065,11
1065,-70
1065,133
1065,36
1065,16
1065,38
1065,43
1065,62
1065,57
1065,-124
1065,111
1065,31
1065,-45
1065,-45
1066,53
1066,30
1066,128
1066,51
1066,179
1066,53
1066,105
1066,23
1066,8
1066,163
1066,4
1066,78
1066,43
1066,13
1066,3
1066,-61
1066,-80
1066,109
1066,46
1066,107
1067,-3
1067,83
1067,-95
1067,32
1067,18
1067,-47
1067,57
1067,114
1067,56
1067,-30
1067,6
1067,58
1067,79
1067,-61
1067,122
1067,29
1067,123
1067,26
1067,-21
1067,14
1068,263
1068,-108
1068,155
1068,68
1068,135
1068,167
1068,-14
1068,61
1068,7
1068,-133
1068,75
1068,108
