a,change
0.006834171,90
0.006834171,47
0.006834171,82
0.006834171,45
0.006834171,53
0.006834171,28
0.006834171,24
0.006834171,4
0.006834171,34
0.006834171,16
0.006834171,1
0.006834171,62
0.006834171,47
0.006834171,22
0.006834171,44
0.006834171,62
0.006834171,14
0.006834171,8
0.006834171,16
0.006834171,-33
0.006834171,31
0.006834171,76
0.006834171,125
0.006834171,91
0.006834171,44
0.006834171,100
0.006834171,87
0.006834171,-4
0.006834171,30
0.006834171,14
0.006834171,19
0.006834171,-4
0.006834171,62
0.006834171,49
0.006834171,77
0.006834171,10
0.006834171,60
0.006834171,53
0.007286432,53
0.007286432,67
0.007286432,83
0.007286432,5
0.007286432,-5
0.007286432,49
0.007286432,105
0.007286432,57
0.007286432,28
0.007286432,-18
0.007286432,3
0.007286432,29
0.007286432,40
0.007286432,87
0.007286432,37
0.007286432,50
0.007286432,17
0.007286432,34
0.007286432,59
0.007286432,-34
0.007286432,3
0.007286432,2
0.007286432,17
0.007286432,62
0.007286432,27
0.007286432,65
0.007286432,36
0.007286432,36
0.007286432,98
0.007286432,31
0.007286432,-35
0.007286432,88
0.007286432,-7
0.007286432,93
0.007286432,34
0.007286432,70
0.007286432,52
0.007286432,2
0.007286432,21
0.007286432,12
0.007286432,25
0.007286432,41
0.007286432,84
0.007286432,26
0.007286432,62
0.007286432,-7
0.007286432,37
0.007286432,-11
0.007286432,17
0.007286432,32
0.007286432,27
0.007286432,66
0.007286432,34
0.007286432,32
0.007286432,-23
0.007286432,64
0.007286432,27
0.007286432,9
0.007286432,52
0.007286432,52
0.007286432,33
0.007286432,59
0.007286432,18
0.007286432,101
0.007286432,85
0.007286432,43
0.007286432,114
0.007286432,58
0.007286432,39
0.007286432,35
0.007286432,49
0.007286432,122
0.007286432,11
0.007286432,28
0.007286432,68
0.007286432,42
0.007286432,5
0.007286432,65
0.007286432,-14
0.007286432,36
0.007286432,146
0.007286432,-10
0.007286432,86
0.007286432,49
0.007286432,-3
