a,sigma,beta,k,u_hat,delta,p_increase,delta_correct
0.014848485,0.01,1.4848485,0.2,0.1,6.517327697328295e-4,0.98,7.533138745895538e-4
0.014848485,0.01,1.4848485,0.2,0.1,6.517327697328295e-4,1,7.533138745895538e-4
0.015,0.01,1.5,0.2,0.1,6.546869284035481e-4,1,7.659887945782838e-4
0.015,0.01,1.5,0.2,0.1,6.546869284035481e-4,0.98,7.659887945782838e-4
0.015151515,0.01,1.5151515,0.2,0.1,6.578865045020105e-4,0.98,7.786436127117137e-4
0.015151515,0.01,1.5151515,0.2,0.1,6.578865045020105e-4,1,7.786436127117137e-4
0.01530303,0.01,1.530303,0.2,0.1,6.613212698471339e-4,1,7.912764035193417e-4
0.01530303,0.01,1.530303,0.2,0.1,6.613212698471339e-4,1,7.912764035193417e-4
0.015454545,0.01,1.5454545,0.2,0.1,6.649813132712095e-4,1,8.038852939538689e-4
0.015454545,0.01,1.5454545,0.2,0.1,6.649813132712095e-4,1,8.038852939538689e-4
0.015606061,0.01,1.5606061,0.2,0.1,6.688570575733271e-4,1,8.16468545509522e-4
0.015606061,0.01,1.5606061,0.2,0.1,6.688570575733271e-4,0.98,8.16468545509522e-4
0.015757576,0.01,1.5757575999999998,0.2,0.1,6.729391467298856e-4,1,8.290242213567882e-4
0.015757576,0.01,1.5757575999999998,0.2,0.1,6.729391467298856e-4,1,8.290242213567882e-4
0.015909091,0.01,1.5909091,0.2,0.1,6.77218590697893e-4,1,8.415506838215445e-4
0.015909091,0.01,1.5909091,0.2,0.1,6.77218590697893e-4,1,8.415506838215445e-4
0.016060606,0.01,1.6060606000000002,0.2,0.1,6.816866559411451e-4,1,8.540462611780174e-4
0.016060606,0.01,1.6060606000000002,0.2,0.1,6.816866559411451e-4,1,8.540462611780174e-4
0.016212121,0.01,1.6212121,0.2,0.1,6.863348820573286e-4,1,8.665093299627981e-4
0.016212121,0.01,1.6212121,0.2,0.1,6.863348820573286e-4,1,8.665093299627981e-4
0.016363636,0.01,1.6363636,0.2,0.1,6.911550737726549e-4,1,8.789383141588059e-4
0.016363636,0.01,1.6363636,0.2,0.1,6.911550737726549e-4,1,8.789383141588059e-4
0.016515152,0.01,1.6515152000000002,0.2,0.1,6.961393265949092e-4,1,8.913317660603458e-4
0.016515152,0.01,1.6515152000000002,0.2,0.1,6.961393265949092e-4,1,8.913317660603458e-4
0.016666667,0.01,1.6666667,0.2,0.1,7.01279886603737e-4,1,9.036880385175534e-4
0.016666667,0.01,1.6666667,0.2,0.1,7.01279886603737e-4,1,9.036880385175534e-4
0.016818182,0.01,1.6818182000000002,0.2,0.1,7.065693405894849e-4,1,9.160057749314082e-4
0.016818182,0.01,1.6818182000000002,0.2,0.1,7.065693405894849e-4,1,9.160057749314082e-4
0.016969697,0.01,1.6969697,0.2,0.1,7.120004783961574e-4,1,9.282835810306596e-4
0.016969697,0.01,1.6969697,0.2,0.1,7.120004783961574e-4,1,9.282835810306596e-4
0.017121212,0.01,1.7121212,0.2,0.1,7.175663183988105e-4,1,9.405201060031614e-4
0.017121212,0.01,1.7121212,0.2,0.1,7.175663183988105e-4,1,9.405201060031614e-4
0.017272727,0.01,1.7272727,0.2,0.1,7.232601008212732e-4,1,9.527140417187399e-4
0.017272727,0.01,1.7272727,0.2,0.1,7.232601008212732e-4,1,9.527140417187399e-4
0.017424242,0.01,1.7424242,0.2,0.1,7.290752812511022e-4,1,9.648641219589249e-4
0.017424242,0.01,1.7424242,0.2,0.1,7.290752812511022e-4,1,9.648641219589249e-4
0.017575758,0.01,1.7575758,0.2,0.1,7.350055638514308e-4,1,9.769692013960225e-4
0.017575758,0.01,1.7575758,0.2,0.1,7.350055638514308e-4,1,9.769692013960225e-4
0.017727273,0.01,1.7727273,0.2,0.1,7.410447379284673e-4,1,9.8902793556176e-4
0.017727273,0.01,1.7727273,0.2,0.1,7.410447379284673e-4,1,9.8902793556176e-4
0.017878788,0.01,1.7878788,0.2,0.1,7.471869069009878e-4,1,0.0010010392594697326
0.017878788,0.01,1.7878788,0.2,0.1,7.471869069009878e-4,1,0.0010010392594697326
0.018030303,0.01,1.8030303,0.2,0.1,7.534263266980712e-4,1,0.0010130020669961402
0.018030303,0.01,1.8030303,0.2,0.1,7.534263266980712e-4,1,0.0010130020669961402
0.018181818,0.01,1.8181818,0.2,0.1,7.597574389396373e-4,1,0.0010249152901906748
0.018181818,0.01,1.8181818,0.2,0.1,7.597574389396373e-4,1,0.0010249152901906748
0.018333333,0.01,1.8333333,0.2,0.1,7.66174865513776e-4,1,0.001036777898552041
0.018333333,0.01,1.8333333,0.2,0.1,7.66174865513776e-4,1,0.001036777898552041
0.018484848,0.01,1.8484848,0.2,0.1,7.726734033126657e-4,1,0.0010485888983116018
0.018484848,0.01,1.8484848,0.2,0.1,7.726734033126657e-4,1,0.0010485888983116018
0.018636364,0.01,1.8636364,0.2,0.1,7.792480627550262e-4,1,0.0010603474091551747
0.018636364,0.01,1.8636364,0.2,0.1,7.792480627550262e-4,1,0.0010603474091551747
0.018787879,0.01,1.8787879,0.2,0.1,7.858938887480943e-4,1,0.0010720523534458112
0.018787879,0.01,1.8787879,0.2,0.1,7.858938887480943e-4,1,0.0010720523534458112
0.018939394,0.01,1.8939394,0.2,0.1,7.926062162741924e-4,1,0.0010837029211753918
